call_count, inputs, weights, outputs, nb_iterations, d_cache_accesses, d_cache_misses, d_load, d_store, instret, cycles
3254, 0x8002feac, 0x8000eb74, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3255, 0x8002fec4, 0x8000eb78, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3256, 0x8002fe7c, 0x8000eb7c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3257, 0x8002fe94, 0x8000eb80, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3258, 0x8002feac, 0x8000eb84, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3259, 0x8002fec4, 0x8000eb88, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3260, 0x8002fe7c, 0x8000eb8c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3261, 0x8002fe94, 0x8000eb90, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3262, 0x8002feac, 0x8000eb94, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3263, 0x8002fec4, 0x8000eb98, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3264, 0x8002fe7e, 0x8000ea9c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3265, 0x8002fe96, 0x8000eaa0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3266, 0x8002feae, 0x8000eaa4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3267, 0x8002fec6, 0x8000eaa8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3268, 0x8002fe7e, 0x8000eaac, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3269, 0x8002fe96, 0x8000eab0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3270, 0x8002feae, 0x8000eab4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3271, 0x8002fec6, 0x8000eab8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3272, 0x8002fe7e, 0x8000eabc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3273, 0x8002fe96, 0x8000eac0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3274, 0x8002feae, 0x8000eac4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3275, 0x8002fec6, 0x8000eac8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3276, 0x8002fe7e, 0x8000eacc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3277, 0x8002fe96, 0x8000ead0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3278, 0x8002feae, 0x8000ead4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3279, 0x8002fec6, 0x8000ead8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3280, 0x8002fe7e, 0x8000eadc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3281, 0x8002fe96, 0x8000eae0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3282, 0x8002feae, 0x8000eae4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3283, 0x8002fec6, 0x8000eae8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3284, 0x8002fe7e, 0x8000eaec, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3285, 0x8002fe96, 0x8000eaf0, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3286, 0x8002feae, 0x8000eaf4, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3287, 0x8002fec6, 0x8000eaf8, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3288, 0x8002fe7e, 0x8000eafc, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3289, 0x8002fe96, 0x8000eb00, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3290, 0x8002feae, 0x8000eb04, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3291, 0x8002fec6, 0x8000eb08, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
3292, 0x8002fe7e, 0x8000eb0c, 0x8002fd4c, 4, 23, 0, 9, 1, 36, 58 
